Username,Date,Content,Likes,Retweets
"iresimply81
@IREsimply81","10:10 AM · Aug 28, 2020",Perhaps now Singaporeans will know why we need to show displeasure by not giving a strong mandate. #iresimply81 #ge2020sg #singaporean #singapore #jobsforftnsforsingaporeans https://instagram.com/p/CEamwx0hfyv/?igshid=1bmsw42gsb54c…,0.0,0
"Data Science Briefly
@DataScience_b","2:36 AM · Aug 19, 2020","Singapore’s #GE2020SG in wordclouds and barcharts
https://briefly.co/anchor/Data_science/story/singapores-ge2020sg-in-wordclouds-and-barcharts?f=gravlax&utm_source=Twitter&utm_medium=autotweet&utm_content=unhighlighted&utm_campaign=Data_science…
 #data #science #datascience",0.0,0
"Anwaar Hussain
@AnwaarH60259325","6:29 PM · Aug 6, 2020","I am challenging 
@govsingapore
 @SupremeCourtSG
 to make any single decision without govt preassure?75%singaporeans vote against govt in #ge2020sg but who has stolen entire mandate?",0.0,0
"M.H.M.Rizvi
@MHMohamedRizvi2","4:10 PM · Aug 6, 2020","ප්‍රචණ්ඩත්වය, ඇඳිරි නීතිය, ඇනහිටීම් ගැන ජනතාව බිය වැද්දුවාට  කිසිම දෙයක් ඇති නොවීම කාටත් පුදුමයක්!!
#systemChanged 
#ge2020sg",0.0,0
"harish on wafto
@harishpillay","5:46 PM · Aug 3, 2020","Looks like this person prefers not to be known as MP but picks the nonsensical ""Adviser to Marymount SMC GROs"". You are MP first in case that is not obvious. #ge2020sg #fail",2.0,4 s
"just_kyle
@justkyle13","3:40 PM · Aug 1, 2020",Yeah this #ge2020sg  was so bad. But at least there are great young ppl out there trying to work with the system and figure out how to get through this gridlock. The young ppl in HK can only hope they can fly out of the country to fight for hk remotely.,0.0,2 s
"Michael Lewis & Friends
@Michael65413248","11:45 AM · Jul 31, 2020","Bloggers commented on #COVID19SG #COVID19Singapore & #Singapore #GE2020SG #GE2020 went missing before/after 10 July 2020 http://emmanuel-maria.biz/index_files/Page2494.htm…
The #Singaporeans are actively searching for them! Please pray for their safety & we hope to find them quickly. Please RT. Many Thanks.",79.0,41 s
"harish on wafto
@harishpillay","7:37 PM · Jul 30, 2020","They feel that they can just keep the narrative and deny everything else. This #ge2020sg showed that their MSM has failed. The entire duration of the hustings, I never spent a single second on MSM - yes, I was laser focussed on my campaigning. But everyone I know ignored MSM.",0.0,1
"Angry Merlion
@jj09102010","4:25 PM · Jul 25, 2020",The legend of #singapore opposition movement. #ge2025 #ge2020sg,0.0,0
"SUTD Singapore
@sutdsg","8:30 AM · Jul 22, 2020","Regardless of race, language, or religion - the topic of race and language took some unforeseen spotlights during #GE2020 

#SUTD Senior Lecturer Dr Nazry Bahrawi joins other experts to weigh in on this commonly skirted subject https://bit.ly/2OESs5w

#SUTDhumanities #ge2020sg",0.0,1
