Username,Date,Content,Likes,Retweets
"Wilson Loo
@kwloo",25/4/2020 2:40,Singapore's General Election will be in 2010 (almost confirmed). Check out http://www.straitstimes.com/GeneralElection/Home/Home.html,1.0,0.0
"christina rose
@cchristina_rose",25/4/2020 4:20,"Singapore voters head to polls for general election
https://youtube.com/watch?v=Ie2n7_djFuw ",0.0,0.0
"sglatestnews
@sglatestnews",25/4/2020 5:32,#world #singapore Botswana ruling party leads in early election results: As general election results tri... http://bit.ly/12wLKED #news,0.0,0.0
"BROWN DAVID
@BrownDavids",25/4/2020 20:40,"voting in 2020 General Election at ""Singapore"" ~ Singida town http://fb.me/QUFHP0Tu",0.0,0.0
"christina rose
@cchristina_rose",26/4/2020 4:20,"Singapore voters head to polls for general election
https://youtube.com/watch?v=Ie2n7_djFuw ",0.0,0.0
"Singapore News
@sgpressrelease",26/4/2020 9:21,Straits Times Editor Chua Mui Hoong thinks that Singapore General Election is Fair http://ift.tt/1trJR7q,14.0,0.0
"Singapore Buzz
@singapore_buzz",26/4/2020 9:23,"Straits Times Editor Chua Mui Hoong thinks that Singapore General Election is Fair: The Straits Times' ""Opinion""  http://dlvr.it/7KRD20",1.0,0.0
"Singapore News
@news_singapore",26/4/2020 9:42,(RealSg) Straits Times Editor Chua Mui Hoong thinks that Singapore General Election is Fair http://bit.ly/1zb9VWH,0.0,0.0
"Occupy Singapore
@occupysg",26/4/2020 9:42,Straits Times Editor Chua Mui Hoong thinks that Singapore General Election is Fair http://bit.ly/1zb9VWG,0.0,0.0
"Tan Kin Lian
@kinlian",26/4/2020 10:20,Many people expect the general election to be held soon in Singapore. Read the issues in www.easyapps.sg/sgep/latest.aspx,8.0,0.0
"sglatestnews
@sglatestnews",26/4/2020 20:54,#world #singapore War-scarred Ukraine votes for pro-Western future: The snap general election is also ex... http://bit.ly/12DzXEs #news,13.0,0.0
"Simon News
@simonnews",29/4/2020 20:20,Upcoming GE must produce Singapore's next PM: SM Goh: SINGAPORE: The coming general election will be a watershed f... http://bit.ly/azCEaV,3.0,0.0
"DTN Singapore
@DTNSingapore",29/4/2020 20:20,DTN Singapore: Upcoming GE must produce Singapore's next PM: SM Goh: SINGAPORE: The coming general election will b... http://bit.ly/9xpeFz,1.0,0.0
"cnafrontpage
@cnafrontpage",29/4/2020 20:20,Upcoming GE must produce Singapore's next PM: SM Goh: SINGAPORE: The coming general election will be a watershed f... http://bit.ly/9RV4Mz,7.0,0.0
"DTN Singapore
@DTNSingapore",29/4/2020 20:42,DTN Singapore: Upcoming GE must produce Singapore's next PM: SM Goh: SINGAPORE: The coming general election will b... http://bit.ly/9xpeFz,0.0,0.0
"Daily Singapore News
@dailysingapore",29/4/2020 20:42,[News] Upcoming GE must produce Singapore's next PM: SM Goh: SINGAPORE: The coming general election will be a wate... http://bit.ly/9RV4Mz,0.0,0.0
"DTN Singapore
@DTNSingapore",29/4/2020 20:43,DTN Singapore: Upcoming GE must produce Singapore's next PM: SM Goh: SINGAPORE: The coming general election will b... http://bit.ly/aB0T4h,1.0,0.0
"Sofiah Jamil
@SocialHornbill",30/4/2020 1:21,"Hmmm... RT 
@TODAYonline
 Why next #Singapore General #Election will be a watershed http://bit.ly/cEI5M3",0.0,0.0
"Ace Kay
@Ace3Kay",30/4/2020 1:29,"The coming general election will be a watershed for PAP, not for Singapore http://bit.ly/bfw5N9",0.0,0.0
"Mark Bonafide
@markbonafide",30/4/2020 2:01,"This is for 
@djpaulsilver
 RT 
@TODAYonline
: Why next Singapore General Election will be a watershed http://bit.ly/cEI5M3 ",1.0,0.0
"Singapore News
@news_singapore",30/4/2020 6:20,"(Today) Why next GE will be a watershed: SINGAPORE - The coming General Election ""must produce"" Singapor... http://bit.ly/drbLFV #Singapore",21.0,0.0
"Daily Singapore News
@dailysingapore",30/4/2020 6:23,"[News] Why next GE will be a watershed: SINGAPORE - The coming General Election ""must produce"" Singapore's next - ... http://bit.ly/a8tG6f",1.0,0.0
"Singapore News
@news_singapore",30/4/2020 6:44,(Straits Times) Watershed event for youth: THE next General Election (GE) will be a watershed event for ... http://bit.ly/b0O873 #Singapore,7.0,0.0
"Iαn Dönα_d
@DonaldDucky",30/4/2020 7:27,[StraitsTimes SG] Watershed event for youth - THE next General Election (GE) will be a watershed event for Singapore... http://ow.ly/19HTkL,0.0,0.0
"LOLCorporation SG
@lolcorporation",30/4/2020 7:27,[StraitsTimes SG] Watershed event for youth - THE next General Election (GE) will be a watershed event for Singapore... http://ow.ly/19HTkM,0.0,0.0
"DTN Singapore
@DTNSingapore",30/4/2020 7:42,DTN Singapore: Watershed event for youth: The next General Election (GE) will be a watershed event for Singaporean... http://bit.ly/9NA9GL,0.0,0.0
"sgpolls
@sgpolls",30/4/2020 8:21,New poll. What will be your most important source of information in the run up to the Singapore General Election? http://buk.ly/b9871,0.0,0.0
"UKProEU
@UKProEU",30/4/2020 9:20,"Who can vote in December's General Election? Citizens from Antigua and Barbuda, Kiribati, Sierra Leone, Australia, Lesotho, Singapore, The Bahamas, Malawi, Solomon Islands, Bangladesh, Malaysia, South Africa, Barbados, Malta, Sri Lanka, Belize, Mauritius, Swaziland, Botswana,",1.0,0.0
"NowTwitting
@NowTwitting",30/4/2020 10:47,Upcoming GE must produce Singapore's next PM: SM Goh: SINGAPORE: The coming general election will be a watershed f... http://bit.ly/adWNab,7.0,0.0
"Singapore Info Map
@sginfomap",30/4/2020 20:07,[News] Upcoming GE must produce Singapore's next PM: SM Goh: SINGAPORE: The coming general election will be a wate... http://bit.ly/9RV4Mz,0.0,0.0
"Nat #FBPE
@Natfreemover",30/4/2020 20:20,"Citizens from 
Antigua and Barbuda KiribatiSierra Leone
AustraliaLesotho Singapore
The BahamasMalawi Solomon Islands
Bangladesh  Malaysia South Africa
BarbadosMalta Sri Lanka
Belize Mauritius Swaziland
can vote at the general election
Why not EU citizens?
#generalelection2019",1.0,0.0
"AsiaPacific8
@AsiaPacific8",1/5/2020 2:10,"#Singapore S _ore must remain exceptional with outstanding leadership: PM Lee:    next General Election, said ...  http://bit.ly/1H0sbpZ",0.0,0.0
"Ricky Gui
@captureasia",1/5/2020 2:40,"Check out this gallery: Singapore General Election 2020 (Our Voices) Day 3 on 
@photoshelter
 http://bit.ly/lxJwu3",0.0,0.0
"Gh Jokes&News L.O.L
@GhJokes_News",1/5/2020 4:20,Leadership renewal is most important issue in next election: PM Lee: SINGAPORE: The next general election is a... http://bit.ly/1c1mDyB,0.0,0.0
"The Singapore Zone
@singaporezone",1/5/2020 4:34,Daily SG: 1 May 2020: Singapore General Election 2020 Cooling Off Day: Friday 6 May 2020 Polling Day: Saturday 7... http://bit.ly/kE43rj,3.0,0.0
"TotalPaas, Inc.
@TotalPaas",1/5/2020 5:02,Singapore General Election: 44000 Social Media Updates in April ...: Social analytics firm Brandtology and digit... http://bit.ly/mJlO9f,2.0,0.0
"B2B MarketingInsider
@b2bmktinsider",1/5/2020 5:40,"Singapore General Election: 44,000 Social Media Updates in April http://bit.ly/jtv3mD #socialmedia",0.0,0.0
"Ernie Bower
@ezbowerBGA",1/5/2020 5:41,"Singapore's PM Lee announced the 4th round of Cabinet changes since the General Election in 2020, promoting Mr... http://fb.me/1f9KM6jmC",1.0,0.0
"Tian Chua
@tianchua",1/5/2020 5:41,Taking an early flight to Singapore then proceed to Timor Leste - will visit the PM & other old pals before their general election.,0.0,0.0
"Sharifah Sharomsah
@sharifahsharoms",1/5/2020 7:20,Singapore General Election Fever http://wp.me/p1lCXx-47,0.0,0.0
"DTN Singapore
@DTNSingapore",1/5/2020 8:36,"DTN Singapore: Election rallies: Monday, May 2: THE political rallies for the 2020 General Election that kicked ... http://bit.ly/lE6PtV",1.0,0.0
"The Straits Times
@straits_times",1/5/2020 8:36,"#Singapore: Election rallies: Monday, May 2: THE political rallies for the 2020 General Election that kicked off... http://bit.ly/mLBk56",4.0,0.0
"Hugh Cook
@hugh_cook",1/5/2020 8:39,A #Twitter app for the current general election in #Singapore  http://bit.ly/kaGU5m,6.0,0.0
"Election_USA
@Election_USA",1/5/2020 8:41,#politics Kurds vote in Iraq&#39;s first general elections since US left | Watch the video - Yahoo News Singapore http://ow.ly/2GcdDu,0.0,0.0
"Y Combinator Newest!
@ycombinatornews",1/5/2020 9:20,"My weekend project: A Twitter app
                for the current general election in Singapore http://bit.ly/krqFFw",0.0,0.0
"Rod Sherrin
@SherrinThePain",1/5/2020 10:00,"GENERAL ELECTION 2020: UKIP wild card may sway Hyndburn vote http://lancashiretelegraph.co.uk/news/12926457.GENERAL_ELECTION_2020__UKIP_wild_card_may_sway_Hyndburn_vote/?ref=twtrec  ""South Asian vote""? Thai? Viet Naamese? Singapore? WTF?",0.0,0.0
"Sean Donahoe
@SeanDonahoe",1/5/2020 20:33,Singapore General Election: 44000 Social Media Updates in April ... http://bit.ly/kHCQqy,0.0,0.0
"Sean Donahoe
@SeanDonahoe",1/5/2020 20:37,Singapore General Election: 44000 Social Media Updates in April ... http://bit.ly/igCbU2,1.0,0.0
"sgpromotions
@sgpromotions",1/5/2020 20:37,"#shopping RT 
@tualobang
: General Elections - Rally sites on Sun, 1 May 2020: List Of Election ... http://bit.ly/k1KaRz #sales #singapore",0.0,0.0
"Gautami R.
@gautami",1/5/2020 20:42,"#Singapore's General Election is on May 7. I'm going to miss my very first opportunity to vote. Unless I can skip work, steal money and fly.",2.0,0.0
"Betty Sharma
@BettySharma12",1/5/2020 20:42,Singapore General Election: 44000 Social Media Updates in April ...: Social analytics firm Brandtology and digit... http://bit.ly/lBdzQe,0.0,0.0
"Ho Weng Thye
@RichardHo283",1/5/2020 20:43,general election singapore 2020,0.0,0.0
"Hon Chun
@hongjun",1/5/2020 20:43,"Singapore General Election GE 2020 : Rallies on May 1, Sun 7 - 10pm http://goo.gl/fb/fO1W1",2.0,0.0
"Errol Widhavian
@delpierrol16",2/5/2020 2:00,"from 
@PennOlson
: The Singapore General Election Buzz [Visualization] http://rckd.us/bzN",5.0,0.0
"AsiaPacific8
@AsiaPacific8",2/5/2020 2:39,"#Singapore Leadership renewal the key issue in next GE: PM Lee:    the next General Election (GE), said Prime ...  http://bit.ly/1H0sbpZ",0.0,0.0
"Willis Wee
@williswee",2/5/2020 2:39,The Singapore General Election Buzz [Visualization] http://bit.ly/iWGjqQ,0.0,0.0
"Forrest YSL
@forrestysl",2/5/2020 2:54,"Click ""constituencies"" is nicely done! RT 
@williswee
: The Singapore General Election Buzz [Visualization] http://bit.ly/iWGjqQ #fb",54.0,0.0
"Jasmine Elnadeem
@Selnadeem",2/5/2020 3:59,"#Singapore General Election: 44,000 #SocialMedia Updates in April http://bit.ly/iCV2zM",0.0,0.0
"sohelpmeseeknewstuff
@shmsns",2/5/2020 4:04,Photo: Your social media guide to the 2020 Singapore General Election http://tumblr.com/xjp2ci5g2k,1.0,0.0
"Leon Hudson
@LeonHudson",2/5/2020 5:03,"The Singapore General Election Buzz [Visualization] http://penn-olson.com/2020/05/02/singapore-general-election-social-media-2/  via 
@pennolson",0.0,0.0
"Wisepreneur
@Wisepreneur",2/5/2020 5:20,How To: Track The Singapore General Election on Twitter in Real-Time: The visualizer designed by Tribal DDB and ... http://bit.ly/lruXyQ,1.0,0.0
"Tech in Asia
@techinasia",2/5/2020 5:20,How To: Track The Singapore General Election on Twitter in Real-Time http://bit.ly/mTcYfs,0.0,0.0
"Lee Bogner
@LeeBogner",2/5/2020 5:20,"@PennOlson
 How To: Track The Singapore General Election on Twitter in Real-Time http://bit.ly/lruXyQ",0.0,0.0
"Laura Betterly
@laurabetterly",2/5/2020 5:20,How To: Track The Singapore General Election on Twitter in Real-Time: The visualizer designed by Tribal DDB and ... http://bit.ly/lruXyQ,1.0,0.0
"PennBot
@PennBot",2/5/2020 5:20,How To: Track The #Singapore General Election on #Twitter in Real-Time http://goo.gl/fb/P9upH #asia #creative,0.0,0.0
"Joan Miller
@bjoanmiller",2/5/2020 5:20,"RT 
@pennolson
 How To: Track The Singapore General Election on Twitter in Real-Time: The visualizer designed by T... http://bit.ly/kPC36F",0.0,0.0
"Andreas Cohen
@andreasc",2/5/2020 5:20,"RT 
@LeonHudson
: The Singapore General Election Buzz [Visualization] via 
@pennolson
 http://tinyurl.com/696uqb2",0.0,0.0
"Tom Tyrone Beiron
@TomTyroneBeiron",2/5/2020 5:37,Singapore General Election day is set for Saturday 7 May 2020! SG Election 2020 is time for truth and freedom to reign over fear.,0.0,0.0
"Tom Tyrone Beiron
@TomTyroneBeiron",2/5/2020 5:39,"Singapore General Election - SG Election 2020. Finally, after 26 years of eligibility, and the first time in my adult life, I will vote!",0.0,0.0
"Tom Tyrone Beiron
@TomTyroneBeiron",2/5/2020 5:44,#SGElections2020 - Some people in their 50s and have never even voted in a single General Election in Singapore! What democratic process?,7.0,0.0
"Syafiq Rahman
@syafiqrahman",2/5/2020 6:08,"Singapore General Election: 44,000 Social Media Updates in April http://penn-olson.com/2020/04/30/singapore-general-election-social-media/  via 
@pennolson",0.0,0.0
"The Daily PR
@Internetguru798",2/5/2020 6:25,#SocialMediaNews #US How To: Track The Singapore General Election on Twitter in Real-Time: ... http://bit.ly/l36kYB #SEONews #SocMedNews,0.0,0.0
"JobShoots
@sfsmjobshoot",2/5/2020 6:25,How To: Track The Singapore General Election on Twitter in Real-Time http://bit.ly/kGs8KH #news #socialmedia,341.0,0.0
"JobShoots
@sfsocialmedia",2/5/2020 6:25,How To: Track The Singapore General Election on Twitter in Real-Time http://bit.ly/kGs8KH #news #socialmedia,0.0,0.0
"SM Bollocks
@smbollocks",2/5/2020 6:25,Social News - How To: Track The Singapore General Election on Twitter in Real-Time http://seod.co/iMYYuX,0.0,0.0
"Singapore Informer
@singaporeinform",2/5/2020 6:56,#Singapore How To: Track The Singapore General Election on Twitter in Real-Time   Penn Olson http://bit.ly/iO8oP4,0.0,0.0
"Shalu Dixit
@sldixit",2/5/2020 7:03,Singapore : How To: Track The Singapore General Election on Twitter in Real-Time - Penn Olson http://uxp.in/34780514,0.0,0.0
"Lynne Boone
@lynneboone78",2/5/2020 7:35,"The Singapore General Election Buzz [Visualization] | Penn Olson: Party Time brings together, on a single page, ... http://bit.ly/mCkNDQ",0.0,0.0
"Jon.tkr.
@AttitudedJON",2/5/2020 7:38,The Singapore Election Fever: I was chatting with my friends the other day about the General Election 2020 in Si... http://bit.ly/jSLbfz,0.0,0.0
"SGmarket_talk
@SGmarket_talk",2/5/2020 7:53,Hot Issues Of GE2020: These are purely my opinions of the issues raised during this Singapore General Election 2020. 1. Rising Cost Of ,7.0,0.0
"Hon Chun
@hongjun",2/5/2020 8:20,Singapore General Election GE 2020 : Rallies on May 3 http://goo.gl/fb/Ax1jj,0.0,0.0
"PennBot
@PennBot",2/5/2020 8:22,The #Singapore General Election Buzz [Visualization] http://goo.gl/fb/nuPNq #asia #infographic,0.0,0.0
"Wisepreneur
@Wisepreneur",2/5/2020 8:22,"The Singapore General Election Buzz [Visualization]: 
This is the first time in Singapore   history that social ... http://bit.ly/khtWdE",0.0,0.0
"Tech in Asia
@techinasia",2/5/2020 8:22,The Singapore General Election Buzz [Visualization] http://bit.ly/iWGjqQ,0.0,0.0
"E-dkado
@EDKADOPRO",2/5/2020 8:22,"The Singapore General Election Buzz [Visualization]: 
This is the first time in Singapore   history that social ... http://bit.ly/khtWdE",0.0,0.0
"Lee Bogner
@LeeBogner",2/5/2020 8:22,"@PennOlson
 The Singapore General Election Buzz [Visualization] http://bit.ly/khtWdE",0.0,0.0
"Laura Betterly
@laurabetterly",2/5/2020 8:22,"The Singapore General Election Buzz [Visualization]: 
This is the first time in Singapore   history that social ... http://bit.ly/khtWdE",0.0,0.0
"Andrea Negro
@gesiko",2/5/2020 8:22,"The Singapore General Election Buzz [Visualization]: 
This is the first time in Singapore   history that social ... http://bit.ly/jntgqv",0.0,0.0
"Tin Hang Liu
@TinHangLiu",2/5/2020 8:22,"The Singapore General Election Buzz [Visualization] http://bit.ly/jDCBeG #SMM via 
@PennOlson",0.0,0.0
"Joan Miller
@bjoanmiller",2/5/2020 8:22,"RT 
@pennolson
 The Singapore General Election Buzz [Visualization]: 
This is the first time in Singapore   histor... http://bit.ly/mDunp2",0.0,0.0
