Username,Date,Content,Likes,Retweets
"NewsClick
@newsclickin","7:52 PM · Aug 31, 2020","Scripting history, Singh’s Workers' Party won 10 parliamentary seats out of the 93 it contested in the July 10 general election, making it the biggest opposition presence in Singapore's parliament.",4.0,11 s
"Island Diva
@syzzlyn","10:28 AM · Aug 30, 2020",It was the Flash vs Thor for our Singapore General Election this year. ,0.0,0
"Mark Sayers
@SayersMark","7:36 AM · Aug 26, 2020","Some interesting reflections in this post-analysis of the Singapore general election, which illuminates one of the real political dilemmas of our time. https://straitstimes.com/opinion/a-new-political-culture-is-emerging…",0.0,6 s
"Steve W
@mcpete","5:53 PM · Aug 24, 2020","UK 
 - 
 Singapore FTA

In a few hours the Singaporean parliament will officially reopen, following a general election earlier in the summer, with a speech outlining the aims of the government.

Will a deal with the UK get a mention?

#UKTrade #Brexit",0.0,0
"PickUpBlocks Media
@pickupblocks","2:41 AM · Aug 24, 2020",https://pickupblocks.com/video/8KxUceR1TjM… Singapore may head for General Election before COVID-19 pandemic is over: Teo Chee Hean #video,0.0,0
"ANFREL
@Anfrel","1:01 PM · Aug 21, 2020","""The election expenses of candidates who contested in the general election (GE) this year can be inspected at the Elections Department (ELD), starting on Friday (Aug 21)."" #Singapore #Election",2.0,1
"Newsroom
@NewsroomNZ","3:56 AM · Aug 21, 2020","On today's 
@TheDetailNZ
 podcast: How Singapore carried out its general election in the midst of the pandemic last month",0.0,0
"ANFREL
@Anfrel","1:01 PM · Aug 18, 2020","ANFREL member in #Singapore, MARUAH, is hosting a webinar on 5 September 2020 to discuss the recently concluded general #election and its effect on Singapore youth and future.

Know more here:",0.0,0
"nebula
@domesticgod8","10:06 AM · Aug 18, 2020",Malaysia once had a prime minister holding unto his another post of finance minister & has a string of money laundering charges fr Switzerland to Singapore amounting to billions DID NOT resign but was ousted in a historic general election #ge14,0.0,0
"Philip Lock
@drphiliplock","8:26 AM · Aug 18, 2020","I am in Singapore, a country of 5 million plus. A couple of weeks ago, the country had a general election. Everyone voted in person and with an ID. 
The election department sent every citizen voter a card telling them where to vote. 
Social distancing and mask are compulsory.",0.0,0
"George Yu-Kun Hu
@George1991128","9:52 AM · Aug 16, 2020","My analysis of 2020 Singapore General Election and its political landscape development afterwards, published in ⁦
@realGuancha
⁩ (Mandarin), titled “2020 Singapore Election: Watershed for A Dominant Party System?” http://guancha.cn/HuYuKun/2020_08_16_561678.shtml…",0.0,0
