Username,Date,Content,Likes,Retweets
"SG3rdForce
@Sg3rdF","10:52 PM · Aug 31, 2020",#GE2020 Chan Chun Sing is NOT fit to be Singapore's Prime Minister https://facebook.com/story.php?story_fbid=10157955548822832&id=727872831… #sgelection #sgelections #sgvotes #sgpolitics,0,0
"SG3rdForce
@Sg3rdF","10:11 PM · Aug 31, 2020",#GE2020 PAP ministers have let Singaporeans down https://facebook.com/groups/sgopposition/permalink/666158094000863/… #sgelection #sgelections #sgvotes #sgpolitics,0,0
"Empower Singapore Future
@EmpowerSGfuture","7:11 PM · Aug 31, 2020",#GE2020 PAP is pro-foreigners while WP is pro-Singaporeans https://facebook.com/groups/sgopposition/permalink/665791714037501/… #sgelection #sgelections #sgvotes #sgpolitics,0,0
"Empower Singapore Future
@EmpowerSGfuture","7:09 PM · Aug 31, 2020",#GE2020 Will Josephine Teo ever apologise for her many screw ups? https://facebook.com/story.php?story_fbid=3580050038686586&id=100000448763402… #sgelection #sgelections #sgpolitics #sgvotes,0,0
"Empower Singapore Future
@EmpowerSGfuture","7:05 PM · Aug 31, 2020",#GE2020 PAP refuses to come clean about CECA https://facebook.com/story.php?story_fbid=10222139404650434&id=1122845381… #sgelection #sgelections #sgvotes #sgpolitics,0,0
"Empower Singapore Future
@EmpowerSGfuture","6:59 PM · Aug 31, 2020",#GE2020 PAP only knows how to buy votes & fix opposition https://onlinecitizenasia.com/2020/08/30/the-pap-way-is-to-try-and-buy-its-way-to-success/… #sgelection #sgelections #sgvotes #sgpolitics,0,0
"Empower Singapore Future
@EmpowerSGfuture","6:54 PM · Aug 31, 2020",#GE2020 Singapore government must wake up its ideas https://onlinecitizenasia.com/2020/08/30/are-entitled-singaporeans-to-blame-for-why-companies-hire-foreigners/… #sgelection #sgelections #sgpolitics #sgvotes,0,0
"Empower Singapore Future
@EmpowerSGfuture","9:44 AM · Aug 30, 2020",#GE2020 Josephine Teo continues to let Singaporeans down https://facebook.com/story.php?story_fbid=10222126335803721&id=1122845381… #sgelection #sgelections #sgpolitics #sgvotes,0,0
"Empower Singapore Future
@EmpowerSGfuture","9:42 AM · Aug 30, 2020","#GE2020 Are foreign ""talents"" really much better than Singaporeans talents? https://facebook.com/story.php?story_fbid=10157766374728528&id=702188527… #sgelection #sgelections #sgpolitics #sgvotes",0,0
"Empower Singapore Future
@EmpowerSGfuture","9:39 AM · Aug 30, 2020",#GE2020 PAP is the one raiding Singapore's reserves https://onlinecitizenasia.com/2020/08/28/top-20-politicians-with-the-highest-amount-of-expenditure-in-ge2020/… #sgelection #sgelections #sgpolitics #sgvotes,0,0
"Empower Singapore Future
@EmpowerSGfuture","9:36 AM · Aug 30, 2020",#GE2020 PAP have no solutions to problems faced by Singaporeans https://onlinecitizenasia.com/2020/08/28/what-do-the-alternative-parties-propose-to-tackle-singapores-migrant-labour-issue-x/… #sgelection #sgelections #sgpolitics #sgvotes,0,0
"Empower Singapore Future
@EmpowerSGfuture","9:33 AM · Aug 30, 2020","#GE2020 Josephine Teo is an ""outstanding"" minister? https://facebook.com/story.php?story_fbid=3143140159133324&id=100003121113114… #sgelection #sgelections #sgvotes #sgpolitics",0,0
"Singaporeans Deserve Better
@SGDeserveBetter","11:54 PM · Aug 29, 2020","#GE2020 Singaporeans have much to learn from Hougang, Aljunied & Sengkang voters https://onlinecitizenasia.com/2020/08/28/ng-chee-meng-is-proof-that-being-booted-out-as-mp-and-minister-works-wonders/… #sgelection #sgelections #sgpolitics #sgvotes",0,0
"Singaporeans Deserve Better
@SGDeserveBetter","11:49 PM · Aug 29, 2020",#GE2020 PAP prefers to replace Singaporeans talents with fake foreign talents https://facebook.com/groups/sgopposition/permalink/664805077469498/… #sgelection #sgelections #sgpolitics #sgvotes,0,0
"Singaporeans Deserve Better
@SGDeserveBetter","11:44 PM · Aug 29, 2020",#GE2020 Third world estate under PM Lee? https://facebook.com/groups/sgopposition/permalink/665690194047653/… #sgelection #sgelections #sgvotes #sgpolitics,0,0
"Singaporeans Deserve Better
@SGDeserveBetter","11:37 PM · Aug 29, 2020",#GE2020 PAP cannot be trusted to ownself check ownself https://facebook.com/story.php?story_fbid=10158408604513954&id=643143953… #sgelection #sgelections #sgpolitics #sgvotes,0,0
"Singaporeans Deserve Better
@SGDeserveBetter","11:11 PM · Aug 29, 2020","#GE2020 Are foreign ""talents"" really much better than Singaporeans talents? https://facebook.com/story.php?story_fbid=10157766374728528&id=702188527… #sgelection #sgelections #sgpolitics #sgvotes",0,0
"SG3rdForce
@Sg3rdF","11:04 PM · Aug 29, 2020",#GE2020 Josephine Teo continues to let Singaporeans down https://onlinecitizenasia.com/2020/08/29/josephine-teo-says-sg-shouldnt-implement-quota-for-eps-while-ntuc-chief-now-wants-differentiated-ep-quota/… #sgelection #sgelections #sgpolitics #sgvotes,0,0
"SG3rdForce
@Sg3rdF","10:41 PM · Aug 29, 2020",#GE2020 PAP have no solutions to protect Singaporeans' jobs https://facebook.com/story.php?story_fbid=2642168302718026&id=1891309921137205… #sgelection #sgelections #sgvotes #sgpolitics,0,0
