Username,Date,Content,Likes,Retweets
"ANFREL
@Anfrel","1:01 PM · Aug 18, 2020","ANFREL member in #Singapore, MARUAH, is hosting a webinar on 5 September 2020 to discuss the recently concluded general #election and its effect on Singapore youth and future.

Know more here:",0,0
"George Yu-Kun Hu
@George1991128","9:52 AM · Aug 16, 2020","My analysis of 2020 Singapore General Election and its political landscape development afterwards, published in ⁦
@realGuancha
⁩ (Mandarin), titled “2020 Singapore Election: Watershed for A Dominant Party System?” http://guancha.cn/HuYuKun/2020_08_16_561678.shtml…",0,0
"TVAsiaPlus
@TVAsiaPlus","11:40 AM · Aug 11, 2020",Grabyo supports Mediacorp in providing multi-platform coverage of the Singapore General Election 2020 - https://tva.onscreenasia.com/2020/08/grabyo-mediacorp-providing-multi-platform-coverage-singapore-general-election-2020/…,0,1
"The Diplomat
@Diplomat_APAC","7:03 PM · Aug 10, 2020",Singapore’s 2020 general election saw the opposition achieve its highest number of elected seats in parliament since 1963. What happened to the PAP?,10,11 s
"The Diplomat
@Diplomat_APAC","7:03 AM · Aug 10, 2020",Singapore’s 2020 general election saw the opposition achieve its highest number of elected seats in parliament since 1963. What happened to the PAP?,3,10 s
"Interesting Facts
@some_cool_facts","10:00 AM · Aug 1, 2020",The 2020 Singaporean general election was a general election held in Singapore on 10 July 2020.,0,0
"方雪宁シャロン
@f0nqxu3ninq","1:54 AM · Jul 31, 2020","10th July 2020 - Singapore general election, voting day. 
#throwback #election2020
 #votingday #juyingprimaryschool #withfamily 
 https://instagram.com/p/CDRn2K6nEJcgEneCzM6vefk0ZtSBhEjCpNxwmU0/?igshid=djxxhzbj462x…",0,0
"イワー
@solsetur","3:33 PM · Jul 30, 2020","""Who won the 2020 General Election? Singapore won.""
&
'I am very pleased to see more women joining politics and entering Parliament. We need more women in Parliament and in the Cabinet.' #tommykoh",0,2 s
"TREmeritus
@TREmeritus","1:38 AM · Jul 30, 2020","Post General Elections 2020
http://tremeritus.net/2020/07/30/post-general-elections-2020/… 
As the dust has yet to settle on Singapore’s 18th General Election with post-revelations of irregularities and double standards, I cannot help but not share the same euphoric and optimism as some Singaporeans for our futur...",0,0
"MFAsg
@MFAsg","9:53 PM · Jul 28, 2020","On 28 July 2020, PM 
@leehsienloong
 received a phone call from Indonesian President 
@jokowi
, who congratulated PM Lee on the result of the recent Singapore General Election.",0,8 s
"The Hindu
@the_hindu","5:10 PM · Jul 26, 2020","Singapore Prime Minister Lee Hsien Loong announced his new Cabinet, 15 days after his ruling People’s Action Party bagged 61.24% of the votes in the 2020 general election",3,59 s
"H24 News Singapore
@h24news_sg","3:19 PM · Jul 25, 2020","Prime Minister Lee Hsien Loong announced Singapore’s new Cabinet on Saturday (Jul 25), 15 days after the People’s Action Party (PAP) took 61.24 per cent of the votes in the 2020 General Election",0,0
"ASEAN Briefing
@ASEANBriefing","1:30 PM · Jul 17, 2020","Singapore's 2020 General Election results: the incumbent People's Action Party (PAP) gained 83 out of 93 seats in the parliament. http://is.gd/2FMqnN

#GE2020 #SingaporeElection #investment #regulation",0,0
"MFAsg
@MFAsg","10:36 PM · Jul 16, 2020","On 16 July 2020, Prime Minister 
@leehsienloong
 received a phone call from Australian Prime Minister 
@ScottMorrisonMP
, who congratulated PM Lee on the results of the Singapore General Election.",3,9 s
"TOC News
@tocsg","7:52 PM · Jul 16, 2020",Was Cost of Living an election issue in the 2020 Singapore General Election?,2,1
"KenyaMoja
@KenyaMoja13","2:34 PM · Jul 16, 2020","#StopElectoralFrauding Singapore General election 2020 & Results announced afta 24 hours.
@IEBC
 @WChebukati
 Kenya should copy Singapore in terms General Election system to end Electoral Frauding as what 
@HakiNgo
 said Electoral Fraudin is the enemy of Kenya.",4,6 s
"Election News Bay
@electionnewsbay","12:34 PM · Jul 16, 2020",Singapore General Election 2020: A success amidst the pandemic,0,0
"BERNAMA Radio
@bernamaradio","8:58 AM · Jul 16, 2020","#globalbuzz The total number of votes cast at the just concluded Singapore General Election 2020 is 2,540,359 or 95.81 per cent of the 2,651,435 registered electors - Singapore’s Elections Department (ELD)",0,0
"AsiaSamachar
@AsiaSamachar","9:59 PM · Jul 15, 2020",Pritam Singh emerged a clear hero after Singapore General Election 2020. He answers 5 questions posed by Asia Samachar #GE2020,0,1
"New Mandala
@newmandala","9:33 AM · Jul 15, 2020","New 
: The people have spoken and they didn't say quite the same thing they normally do in Singapore's 2020 General Election, writes Meredith Weiss.",9,12 s
"times-report
@Swarup61186427","6:32 PM · Jul 12, 2020","Lee Hsien Loong | Singapore Elections Result 2020 Today Latest News Updates: Prime Minister Lee Hsien Loong (PCA) Action Party Wins General Election | Prime Minister Lee’s party won; Opposition Workers Party got 10 seats, Bharatvanshi Pritam to be Leader…",0,0
"Jacky
@Cloverstar81","3:44 PM · Jul 12, 2020",Thoughts on #SingaporeElection Singapore General Election Results 2020 https://mysingapore65.blogspot.com/2020/07/thoughts-on-singapore-general-election.html…,0,0
"WireNews
@wirenews","3:13 PM · Jul 12, 2020","2020 Singapore General Election https://wirenews.org/post/2020-singapore-general-election… 
@wirenews
 #wirenews",0,0
"Jacky
@Cloverstar81","2:29 PM · Jul 12, 2020",Thoughts on #Singapore General Election Results 2020 #SingaporeElection #GE2020   https://mysingapore65.blogspot.com/2020/07/thoughts-on-singapore-general-election.html…,0,0
"Jacky
@Cloverstar81","12:21 PM · Jul 12, 2020",Thoughts on #Singapore General Election Results 2020 #SingaporeElection #WorkersParty #GE2020SG  https://mysingapore65.blogspot.com/2020/07/thoughts-on-singapore-general-election.html…,0,0
"Jacky
@Cloverstar81","12:20 PM · Jul 12, 2020",Thoughts on #Singapore General Election Results 2020 #SingaporeElection #WorkersParty #GE2020SG  https://mysingapore65.blogspot.com/2020/07/thoughts-on-singapore-general-election.html…,0,0
"Jacky
@Cloverstar81","12:19 PM · Jul 12, 2020",Thoughts on #Singapore General Election Results 2020 #SingaporeElection #Ge2020 #singaporevotes #WorkersParty  https://mysingapore65.blogspot.com/2020/07/thoughts-on-singapore-general-election.html…,0,0
"Jacky
@Cloverstar81","12:00 PM · Jul 12, 2020",Thoughts on #Singapore General Election Results 2020 #SingaporeElection #singaporevotes #GE2020SG  https://mysingapore65.blogspot.com/2020/07/thoughts-on-singapore-general-election.html…,0,0
"Asha Bajaj
@abajaj033","6:17 AM · Jul 12, 2020","2020 Singapore General Election: Press statement by US Dept of State: https://bit.ly/3eieKUX: 
@USATODAY
; 
@StateDept
; 
@govsingapore",0,0
中国民主人权联盟/Chinese Democracy & Human Rights Alliance,"5:29 AM · Jul 12, 2020",2020 Singapore General Election - United States Department of State,0,1
"1Satnamsingh
@1Satnamsingh","10:53 PM · Jul 11, 2020","Election results may delay Singapore leadership handover, says political analyst https://punjaboutlook.com/wp/election-results-may-delay-singapore-leadership-handover-says-political-analyst/… #Prime _Minister_ Lee_ Hsien _Loong#Singapore’s_ General_ Election _2020#Workers’ _Party#People’s _Action_ Party#sikh_singapore",0,0
"Marcel & Ginette
@commidescochons","10:46 PM · Jul 11, 2020","The Workers’ Party (WP) to People Action Party (PAP) on their latest win in Singapore General Election 2020 Sengkang GRC.

Oh MAO God! 

#OMG #OMaoGod 

#CdC #COMMIdesCOCHONS

#GE2020  #SGElections  #SGElections2020 #SGVotes  #SGVotes2020 #SG #Singapore #SGUnited #ICYMI",0,0
"Investvine
@investvine","9:12 PM · Jul 11, 2020",#IV Opposition wins support in popular vote in #Singapore's 2020 general election amid Covid-19 crisis and adds seats in parliament,0,0
"Virginia Tang (Osteopath Sg)
@ozteopath","12:29 PM · Jul 11, 2020","It was polling day for the 2020 General Election in Singapore, yesterday...  iamivanlau was so happy and proud to be able to vote again after many years of not doing so...  This called for a phase 2 - day 23… https://instagram.com/p/CCfQg_YHJaV/?igshid=wtzab1vjwe6e…",0,0
"Oneindia News
@Oneindia","12:28 PM · Jul 11, 2020",General Election 2020 Results: Singapore PM Lee Hsien Loong returns to power with 'clear mandate'  http://oneindia.com/international/general-election-2020-results-singapore-pm-lee-hsien-loong-returns-to-power-with-clear-mandate-3118114.html… #Singapore,2,1
"Subham Roy
@Marmikhmag","9:59 AM · Jul 11, 2020","Singapore's Prime Minister and secretary-general of the ruling People's Action Party Lee Hsien Loong looks at members of the media as he prepares to leave after voting in the general election in Singapore on July 10, 2020.Roslan https://bengaltalkies.in/singapores-ruling-party-pap-cedes-ground-to-opposition-in-pandemic-election/…",0,0
"BigTalkMoney
@BigTalkMoney","8:53 AM · Jul 11, 2020","Singapore General Election 2020: PAP wins 83 seats out of an available 93, with 61.24% of vote; WP win 10 seats and claims two GRCs including new Sengkang GRC.",0,0
"Mohamed Mansor
@Mansor_AR","8:33 AM · Jul 11, 2020",Singapore’s General Election 2020 result did not show a strong mandate for the PAP whose overall vote shares at the GE fell to 61.24% from 69.9% in GE 2015.,0,0
"The Daily Fodder
@TDFodder","8:10 AM · Jul 11, 2020",2020 Singapore General Election - https://thedailyfodder.com/2020/07/2020-singapore-general-election.html…,0,0
"John Paluska (Parler: @TRUMPCONSERVATIVESUNITE)
@JohnPaluskaPR","7:49 AM · Jul 11, 2020",2020 Singapore General Election - https://thedailyfodder.com/2020/07/2020-singapore-general-election.html…,0,0
