Username,Date,Content,Likes,Retweets
"Zad Zailani
@_darryllikaboss","5:57 PM · Aug 25, 2020",Maam! Hats off to all the things you had to go through! #wpsg,0,1
"Mark Hunter
@wpstudygroup","7:30 AM · Aug 24, 2020","Just officially opened WP Study Group to the general public. We'd love your support in making this an awesome reference. Check out my first YouTube video for the site.
https://buff.ly/3ho3Q2C
#wordpress, #wpsg, #blogging , #Blog",0,1
"bookish_cats_aye
@oculusaye","5:30 PM · Aug 20, 2020","Hopefully, the latest 
@scotgov
 et al's, Managing Scotland’s parks and greenspaces during covid-19, will also inform 
@Edinburgh_CC
's Policy & Sustainability Committee's decison-making re #Edinburgh's Winter Festivals in Princes Street Gardens.

#EPSG #WPSG #EDxmas #EDhogmanay",0,2 s
"Geememekee
@geememekee","8:47 PM · Aug 1, 2020","A detailed map of Hougang SMC, surrounded almost entirely by Aljunied GRC except for Ang MoKio GRC to the top left. Legend shows what building use/facilities are indicated. #thisishougang #hougangsmc #wpsg 
@wpsg",0,0
"LeithDocksHQ
@LeithDocksHQ","7:52 PM · Jul 31, 2020","What an awful looking place to chill out, relax, enjoy wildlife and nature and charge your mental battery. Hurry .
@QuaichProject
, #WPSG is obviously a godforsaken place to be and in need any of desperate (tourist focused) interventions. #Edinburgh",0,4 s
"bookish_cats_aye
@oculusaye","5:36 PM · Jul 30, 2020","30 July 2020, 13:00 hrs BST, a webinar that covers the importance of Outstanding Universal Value (OUV) when conducting an impact assessment for World Heritage by 
@ICCROM
 

Relevant to assessing proposals for Princes Street Gardens (#EPSG+#WPSG) #Edinburgh

https://iccrom.org/lecture/impact-assessment-world-heritage-ii-steps-and-processes…",0,0
"The Straits Times
@STcom","7:35 PM · Jul 28, 2020","#wpsg's Pritam Singh to speak more next month about role as Leader of the Opposition, party's approach in Parliament",0,6 s
"The Straits Times
@STcom","5:07 PM · Jul 28, 2020",Parliament sets out duties and privileges of Leader of the Opposition Pritam Singh #wpsg,26,49 s
"Geememekee
@geememekee","10:34 PM · Jul 27, 2020","A detailed Sengkang GRC map showing as-built buildings (spliced images can be joined up seamlessly). Seein how congested it is, now where can residents have a pasar malam if they want? 
 #sengkanggrc #wpsg #truebluesg #teamsengkang #workersparty #compassvale #postge2020",0,0
"zeatin riboside
@zeatinriboside","5:19 AM · Jul 21, 2020",Cockles #jamuslim #GE2020 #wpsg #Singapore #sgelections,0,1
"Geememekee
@geememekee","7:26 PM · Jul 19, 2020",Note how the boundary of Hougang SMC was deliberately carved out to EXCLUDE the train stations #wpsg #Ge2020 #HougangSMC #wp #PostGE2020,5,9 s
